q,a,indexes
人事档案调入共享保存的流程,"如档案属于共享集中管理范畴的，调入流程如下：
1、SSC干部管理组通过邮件/润工作向调动/新入职员工提出档案集中要求，获取员工人事档案存档单位、联系电话等信息。
2、SSC干部管理组收到员工提供的存档信息后，向存档单位核实档案情况，确认调档函抬头、办理方式、所需材料等内容。
（1）可机要流转档案处理：存放于各类人才中心、国有企业及其他具备人事档案保管权限机构的档案，正常调集。向存档单位开具调档函，并根据存档机构要求，选择以下三种办理方式之一：
①直接办理：由干部管理组直接邮寄调档函原件至存档单位办理。
②线上办理：无法直接办理且存档单位已开通线上办理服务的，由本人在存档单位官网或指定公众号/小程序提交档案转出申请，上传身份证、调档函扫描件等材料进行办理。
③线下办理：无法直接办理和线上办理的，由本人携带身份证原件、调档函原件等材料前往现场办理。若本人无法前往现场，经与存档单位确认可由他人代为办理的，代办人需携带双方身份证原件、调档函原件、委托书原件等材料前往现场办理。
（2）不可机要流转档案处理：
①存放于没有档案转递权限机构（如销售事业部、工厂）的档案正常调集，获取异动信息后5个工作日内发出档案材料收集单。
②存于个人手中未拆封的档案，原则上不直接调集，按以下方法处理：
  公司内部员工由本人移交所在销售事业部、工厂后再进行调集。
  外部引进为干部的、新入职的人员由本人移交学校、人才中心、劳动就业服务管理中心、档案代理机构后，再进行调集。
  无法移交的，专人送取（邮政寄送）移交至干部管理组，经干部管理组审核学籍材料（毕业生登记表和成绩单）齐全，无任何涂改现象后予以接收。",
人事档案需调入人力共享中心集中管理的人员范围,"一、档案需集中管理人员范围：
1、M4/M5/M6职级的干部
2、华润啤酒总部中基层员工（不含派驻及成都共享中心）
3、纳入干部储备的人员
4、纳入华润啤酒优秀年轻干部库培养的人员
5、副高级及以上专业技术职务（职称）人员
6、管培生
二、时间要求：待员工入职/调入/纳入档案集中人员范围后10个工作日内，由人力资源共享中心干部管理组向其本人/存档机构发出调档函，由员工本人配合完成档案调集。",
党员档案是否可以和人事档案一起由人力共享中心保存,"党团类材料属于干部人事档案第六类材料，原件需同人事档案一起调入共享档案室集中管理。
党员档案无法调集的，需联系存档单位出具《党员档案存放证明》。无法出具证明的，应提供《入党志愿书》《入党申请书》《转正申请书》及培养考察等材料复印件，加盖存档单位鲜章，并注明复印件与原件一致。",
干部退休档案如何提取,"1、拟退休人员所在单位BP最早可以提前3个月通过邮件向SSC干部管理组提交人事档案转出需求，并上传接收单位开具的调档函作为附件，线下盖有实体印章的调档函应将原件寄送至共享中心干部管理组；
2、SSC干部管理组收到调档函原件后，经内部审批后通过机要通信的方式1个月内完成转出办理。无法通过机要通信转递的，须由BP专人现场提取。",
员工离职后由共享中心集中保管的人事档案如何转出,"1、员工需在离职后两个月内向SSC干部管理组提供档案接收单位出具的调档函、
本人身份证复印件，具体要求如下：
（1）调档函抬头开具单位为：华润雪花啤酒（四川）有限责任公司；
（2）身份复印件手写注明“因本人离职，同意将人事档案转至XX单位保管”并签署姓名和日期；
（3）线下盖有实体印章的调档函，请邮寄至华润啤酒人力资源共享中心四川省成都市武侯区机场路99号干部管理组， 028-63306066-8412； 电子印章调档函，请发至华润啤酒干部管理组邮箱crb_gbgl_zy@crb.cn。
2、SSC干部管理组收到调档函原件后，经内部审批后通过机要通信的方式1个月内完成转出办理。",
调入共享中心集中保管的人事档案查阅流程,"一、党员材料查阅流程
查阅人按照要求规范填写《查（借）阅、复制、摘录干部人事档案审批表》，经所在单位负责人审批后，将扫描件以邮件形式或润工作发送给SSC干部管理组档案管理员，经共享中心内部审批后，档案管理员按要求复制档案材料后，将复印件邮寄给查阅人。
二、除党员材料外的其他材料查阅流程
查阅人按照要求规范填写《查（借）阅、复制、摘录干部人事档案审批表》，经所在单位负责人、啤酒人力资源部总监审批后将扫描件以邮件形式或润工作发送给SSC干部管理组档案管理员，档案管理员按要求复制档案材料后，将复印件邮寄给查阅人。
备注：审批表中档案查阅人须为两名党员同志。",
调入共享中心集中保管的人事档案借阅流程,"1、借阅人按照要求规范填写《查（借）阅、复制、摘录干部人事档案审批表》，经所在单位负责人、啤酒人力资源部总监签字同意后将原件寄至SSC干部管理组；
2、干部管理组收到审批表后，通过机要通信的方式1个月内完成借出办理。无法通过机要通信转递的，须由借阅人现场提取。
备注：干部人事档案正本仅办理干部退休资格预审时可外借，审批表中借阅人须为两名党员同志。",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
