q,a,indexes
贵州,额度10天，多子女叠加,
广西,额度10天，多子女不叠加,
重庆,额度5天，多子女不叠加，子女≤6周岁可休育儿假,
四川,额度10天，多子女不叠加,
云南,额度10天，多子女叠加，有两个以上不满3周岁子女的，再增加5天,
江苏,额度10天，多子女不叠加,
浙江,额度10天，多子女不叠加,
福建,额度10天，多子女不叠加,
上海,额度5天，多子女叠加,
天津,额度10天，多子女不叠加,
河北,额度10天，多子女不叠加,
广东,额度10天，多子女不叠加,
海南,额度10天，多子女不叠加,
湖北,额度10天，多子女不叠加,
湖南,额度10天，多子女不叠加,
江西,额度10天，多子女不叠加,
山东,额度10天，多子女不叠加,
北京,额度5个工作日，多子女叠加,
吉林,额度20天，多子女不叠加,
黑龙江,额度10天，多子女不叠加,
辽宁,额度10天，多子女不叠加,
河南,额度10天，多子女不叠加,
山西,额度15天，多子女叠加,
陕西,额度10天，多子女不叠加,
甘肃,额度15天，多子女不叠加,
青海,额度15天，多子女不叠加,
安徽,额度10天，多子女不叠加,
内蒙古,额度10天，多子女不叠加,
宁夏,额度10天，多子女不叠加,
新疆,额度10天，多子女不叠加,
西藏,额度15天，多子女不叠加,
