q,a,indexes
工会活动,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
工会兴趣小组,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
结婚慰问金,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
结婚补贴,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
生育慰问金,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
去世慰问金,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
饭卡丢失,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
饭卡补办,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
电脑设备领取,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
工服领取,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
工装,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
工牌,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
营业执照,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
工作餐申请,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
会议室,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
速递易,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
福抱抱积分,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
福宝,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
电影豆,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
咖啡券,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
行政暖宝宝,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
内部领用酒水,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
办公用品购买,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
打印机,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
着装要求,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
监控设备,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
公文模板,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
零星采购,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
资产折旧,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
资产报废,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
文创,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
员工年度体检,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
慧盾,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
VPN,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
Rmeet,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
企业邮箱,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
TPM,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
合同管理系统,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
易购商城,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
守正平台,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
OCMS系统,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
茶歇,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
接送站,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
接送机,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
辖区内补贴,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
辖区内走访,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
发票验真,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
餐费报销,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
供应商,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
零星采购,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
资产折旧,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
资产报废,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
文创,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
雪花救助金,据我分析判断这个不属于人力资源的业务范畴，建议您咨询其他企业部门。,
